Restaurant,star_rating,no_reviews,cuisine,url
Ai Cocci,4.5,611,"Italian, Pizza",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d15244534-Reviews-Ai_Cocci-Rome_Lazio.html
Pizza E Mozzarella,5.0,"2,194","Italian, Pizza",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d4437197-Reviews-Pizza_E_Mozzarella-Rome_Lazio.html
La Nicchia Cafe,5.0,163,Italian,https://www.tripadvisor.com.my/Restaurant_Review-g187791-d20806328-Reviews-La_Nicchia_Cafe-Rome_Lazio.html
Hostaria Antica Roma,4.5,"1,345","Italian, Seafood",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d798157-Reviews-Hostaria_Antica_Roma-Rome_Lazio.html
Francesco Forti Ricevimenti,5.0,204,"Italian, Seafood",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d4777570-Reviews-Francesco_Forti_Ricevimenti-Rome_Lazio.html
Er Pizzicarolo,5.0,735,"Italian, Mediterranean",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d12537849-Reviews-Er_Pizzicarolo-Rome_Lazio.html
Steel Talenti Roma,5.0,162,Italian,https://www.tripadvisor.com.my/Restaurant_Review-g187791-d25277512-Reviews-Steel_Talenti_Roma-Rome_Lazio.html
Tonnarello San Pietro,5.0,134,"Italian, Romana",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d27126511-Reviews-Tonnarello_San_Pietro-Rome_Lazio.html
Tonnarello Scala,5.0,"1,272","Italian, Mediterranean",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d23483706-Reviews-Tonnarello_Scala-Rome_Lazio.html
Pizzium - Roma Via Alessandria,5.0,230,"Italian, Pizza",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d24798445-Reviews-Pizzium_Roma_Via_Alessandria-Rome_Lazio.html
Mi'ndujo - Monti,5.0,775,"Italian, Bar",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d23257808-Reviews-Mi_ndujo_Monti-Rome_Lazio.html
Bentu & Soi,4.5,967,"Italian, Seafood",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d1869629-Reviews-Bentu_Soi-Rome_Lazio.html
Ristorante Arlù,4.5,"3,219","Italian, Mediterranean",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d1034543-Reviews-Ristorante_Arlu-Rome_Lazio.html
Ramè Sushi Naturale Italiano,5.0,174,"Japanese, Seafood",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d21391837-Reviews-Rame_Sushi_Naturale_Italiano-Rome_Lazio.html
StuPisci,5.0,554,"Italian, Seafood",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d19469371-Reviews-StuPisci-Rome_Lazio.html
Mi'Ndujo - Euroma2,5.0,655,"Italian, Fast Food",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d23406310-Reviews-Mi_Ndujo_Euroma2-Rome_Lazio.html
Vuliò,5.0,"1,454","Italian, Fast Food",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d13954167-Reviews-Vulio-Rome_Lazio.html
