Restaurant,star_rating,no_reviews,cuisine,url
Nero Nero,4.5,364,"Italian, European",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d12513281-Reviews-Nero_Nero-Kuala_Lumpur_Wilayah_Persekutuan.html
Sabayon,5.0,395,"European, Contemporary",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d20277548-Reviews-Sabayon-Kuala_Lumpur_Wilayah_Persekutuan.html
The Whisky Bar,4.5,"1,470","Bar, European",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d3834170-Reviews-The_Whisky_Bar-Kuala_Lumpur_Wilayah_Persekutuan.html
Latest Recipe,4.5,"1,253","Chinese, Indian",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d819678-Reviews-Latest_Recipe-Kuala_Lumpur_Wilayah_Persekutuan.html
The Mesh,5.0,73,"International, Asian",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d26825851-Reviews-The_Mesh-Kuala_Lumpur_Wilayah_Persekutuan.html
"YEN, W Kuala Lumpur",5.0,205,"Chinese, Asian",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d15360655-Reviews-YEN_W_Kuala_Lumpur-Kuala_Lumpur_Wilayah_Persekutuan.html
The Grand Getaway by Grand Hyatt Kuala Lumpur,5.0,120,N/A,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d22983303-Reviews-The_Grand_Getaway_by_Grand_Hyatt_Kuala_Lumpur-Kuala_Lumpur_Wilayah_Persekutuan.html
Beta KL,5.0,360,"Asian, Malaysian",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d13418516-Reviews-Beta_KL-Kuala_Lumpur_Wilayah_Persekutuan.html
The Dark Horse - Bar & Grill,5.0,183,"Bars & Pubs, Steakhouse",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d23522151-Reviews-The_Dark_Horse_Bar_Grill-Kuala_Lumpur_Wilayah_Persekutuan.html
Genji Japanese Restaurant,4.5,"1,094","Japanese, Sushi",https://www.tripadvisor.com.my/Restaurant_Review-g298313-d5439209-Reviews-Genji_Japanese_Restaurant-Petaling_Jaya_Petaling_District_Selangor.html
